STATISTIC CODE,Statistic,TLIST(A1),Year,LGD2014,Local Government District 2014,UNIT,VALUE
BCOUNTS,number-of-businesses,2017,2017,N92000002,Northern Ireland,Number,71615.0
BCOUNTS,number-of-businesses,2018,2018,N09000001,Antrim and Newtownabbey,Number,4105.0
BCOUNTS,number-of-businesses,2018,2018,N09000002,"Armagh City, Banbridge and Craigavon",Number,8555.0
BCOUNTS,number-of-businesses,2018,2018,N09000003,Belfast,Number,10560.0
BCOUNTS,number-of-businesses,2018,2018,N09000004,Causeway Coast and Glens,Number,5980.0
BCOUNTS,number-of-businesses,2018,2018,N09000005,Derry City and Strabane,Number,5120.0
BCOUNTS,number-of-businesses,2018,2018,N09000006,Fermanagh and Omagh,Number,8055.0
BCOUNTS,number-of-businesses,2018,2018,N09000007,Lisburn and Castlereagh,Number,4755.0
BCOUNTS,number-of-businesses,2018,2018,N09000008,Mid and East Antrim,Number,4875.0
BCOUNTS,number-of-businesses,2018,2018,N09000009,Mid Ulster,Number,8865.0
BCOUNTS,number-of-businesses,2018,2018,N09000010,"Newry, Mourne and Down",Number,8520.0
BCOUNTS,number-of-businesses,2018,2018,N09000011,Ards and North Down,Number,4670.0
BCOUNTS,number-of-businesses,2018,2018,N92000002,Northern Ireland,Number,74060.0
BCOUNTS,number-of-businesses,2019,2019,N09000001,Antrim and Newtownabbey,Number,4175.0
BCOUNTS,number-of-businesses,2019,2019,N09000002,"Armagh City, Banbridge and Craigavon",Number,8715.0
BCOUNTS,number-of-businesses,2019,2019,N09000003,Belfast,Number,10705.0
BCOUNTS,number-of-businesses,2019,2019,N09000004,Causeway Coast and Glens,Number,6075.0
BCOUNTS,number-of-businesses,2019,2019,N09000005,Derry City and Strabane,Number,5260.0
BCOUNTS,number-of-businesses,2019,2019,N09000006,Fermanagh and Omagh,Number,8200.0
BCOUNTS,number-of-businesses,2019,2019,N09000007,Lisburn and Castlereagh,Number,4855.0
BCOUNTS,number-of-businesses,2019,2019,N09000008,Mid and East Antrim,Number,4950.0
BCOUNTS,number-of-businesses,2019,2019,N09000009,Mid Ulster,Number,9050.0
BCOUNTS,number-of-businesses,2019,2019,N09000010,"Newry, Mourne and Down",Number,8745.0
BCOUNTS,number-of-businesses,2019,2019,N09000011,Ards and North Down,Number,4755.0
BCOUNTS,number-of-businesses,2019,2019,N92000002,Northern Ireland,Number,75490.0
BCOUNTS,number-of-businesses,2020,2020,N09000001,Antrim and Newtownabbey,Number,4190.0
BCOUNTS,number-of-businesses,2020,2020,N09000002,"Armagh City, Banbridge and Craigavon",Number,8725.0
BCOUNTS,number-of-businesses,2020,2020,N09000003,Belfast,Number,11065.0
BCOUNTS,number-of-businesses,2020,2020,N09000004,Causeway Coast and Glens,Number,6015.0
BCOUNTS,number-of-businesses,2020,2020,N09000005,Derry City and Strabane,Number,5320.0
BCOUNTS,number-of-businesses,2020,2020,N09000006,Fermanagh and Omagh,Number,8175.0
BCOUNTS,number-of-businesses,2020,2020,N09000007,Lisburn and Castlereagh,Number,5010.0
BCOUNTS,number-of-businesses,2020,2020,N09000008,Mid and East Antrim,Number,4955.0
BCOUNTS,number-of-businesses,2020,2020,N09000009,Mid Ulster,Number,9035.0
BCOUNTS,number-of-businesses,2020,2020,N09000010,"Newry, Mourne and Down",Number,8865.0
BCOUNTS,number-of-businesses,2020,2020,N09000011,Ards and North Down,Number,4740.0
BCOUNTS,number-of-businesses,2020,2020,N92000002,Northern Ireland,Number,76090.0
BCOUNTS,number-of-businesses,2021,2021,N09000001,Antrim and Newtownabbey,Number,4360.0
BCOUNTS,number-of-businesses,2021,2021,N09000002,"Armagh City, Banbridge and Craigavon",Number,8930.0
BCOUNTS,number-of-businesses,2021,2021,N09000003,Belfast,Number,11300.0
BCOUNTS,number-of-businesses,2021,2021,N09000004,Causeway Coast and Glens,Number,6085.0
BCOUNTS,number-of-businesses,2021,2021,N09000005,Derry City and Strabane,Number,5410.0
BCOUNTS,number-of-businesses,2021,2021,N09000006,Fermanagh and Omagh,Number,8285.0
BCOUNTS,number-of-businesses,2021,2021,N09000007,Lisburn and Castlereagh,Number,5170.0
BCOUNTS,number-of-businesses,2021,2021,N09000008,Mid and East Antrim,Number,5040.0
BCOUNTS,number-of-businesses,2021,2021,N09000009,Mid Ulster,Number,9220.0
BCOUNTS,number-of-businesses,2021,2021,N09000010,"Newry, Mourne and Down",Number,9045.0
BCOUNTS,number-of-businesses,2021,2021,N09000011,Ards and North Down,Number,4790.0
BCOUNTS,number-of-businesses,2021,2021,N92000002,Northern Ireland,Number,77640.0
BCOUNTS,number-of-businesses,2022,2022,N09000001,Antrim and Newtownabbey,Number,4315.0
BCOUNTS,number-of-businesses,2022,2022,N09000002,"Armagh City, Banbridge and Craigavon",Number,9255.0
BCOUNTS,number-of-businesses,2022,2022,N09000003,Belfast,Number,11405.0
BCOUNTS,number-of-businesses,2022,2022,N09000004,Causeway Coast and Glens,Number,6280.0
BCOUNTS,number-of-businesses,2022,2022,N09000005,Derry City and Strabane,Number,5455.0
BCOUNTS,number-of-businesses,2022,2022,N09000006,Fermanagh and Omagh,Number,8455.0
BCOUNTS,number-of-businesses,2022,2022,N09000007,Lisburn and Castlereagh,Number,5185.0
BCOUNTS,number-of-businesses,2022,2022,N09000008,Mid and East Antrim,Number,5055.0
BCOUNTS,number-of-businesses,2022,2022,N09000009,Mid Ulster,Number,9430.0
BCOUNTS,number-of-businesses,2022,2022,N09000010,"Newry, Mourne and Down",Number,9175.0
BCOUNTS,number-of-businesses,2022,2022,N09000011,Ards and North Down,Number,4870.0
BCOUNTS,number-of-businesses,2022,2022,N92000002,Northern Ireland,Number,78885.0
